City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Pauini,BR,-7.7136,-66.9764,72.36,94,86,1.19,overcast clouds
261,Nome,US,64.5011,-165.4064,30.27,64,90,14.97,overcast clouds
262,Roma,US,43.2128,-75.4557,48.4,84,1,9.22,clear sky
263,Kwinana,AU,-32.25,115.7667,70.81,47,8,10.65,clear sky
264,Krasnokamensk,RU,50.0979,118.0369,44.08,50,100,6.64,overcast clouds
265,Codrington,AU,-38.2667,141.9667,53.56,55,99,18.28,overcast clouds
266,San Policarpo,PH,12.1791,125.5072,82.35,78,81,8.41,broken clouds
267,Broken Hill,AU,-31.95,141.4333,69.51,35,90,12.66,overcast clouds
268,Klaksvik,FO,62.2266,-6.589,50.92,89,38,25.34,scattered clouds
269,Abu Dhabi,AE,24.4667,54.3667,80.62,54,0,6.91,clear sky
270,Muros,ES,42.7762,-9.0603,58.84,95,100,8.52,overcast clouds
271,Emerald,AU,-23.5333,148.1667,91.54,25,95,9.22,overcast clouds
272,Port Hardy,CA,50.6996,-127.4199,48.2,93,75,5.75,broken clouds
273,Grabouw,ZA,-34.1515,19.0151,58.46,81,37,6.49,scattered clouds
274,Isangel,VU,-19.55,169.2667,82.51,74,75,11.5,broken clouds
275,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,6.91,broken clouds
276,Bafata,GW,12.1667,-14.75,74.26,84,100,3.44,overcast clouds
277,Itanagar,IN,27.1,93.6167,77.63,49,0,3.71,clear sky
278,Gweta,BW,-20.1833,25.2333,66.25,62,33,11.79,scattered clouds
279,Abu Zabad,SD,12.35,29.25,75.63,17,6,9.31,clear sky
280,La Ronge,CA,55.1001,-105.2842,37.65,70,1,6.91,clear sky
281,Riyadh,SA,24.6877,46.7219,71.74,26,100,9.4,overcast clouds
282,Merauke,ID,-8.4667,140.3333,85.03,69,100,13.67,light rain
283,Kaeo,NZ,-35.1,173.7833,72.32,63,53,11.45,broken clouds
284,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.94,77,53,1.16,broken clouds
285,Oruro,BO,-17.9833,-67.15,48.97,61,37,11.45,scattered clouds
286,Batagay-Alyta,RU,67.8006,130.4114,13.48,94,100,0.69,light snow
287,North Bend,US,43.4065,-124.2243,61.25,97,90,6.91,mist
288,Tilichiki,RU,60.4667,166.1,12.76,91,100,0.81,overcast clouds
289,Thompson,CA,55.7435,-97.8558,39.36,100,75,9.22,broken clouds
290,Seoul,KR,37.5683,126.9778,65.77,40,0,6.91,clear sky
291,Shengjin,AL,41.8136,19.5939,42.75,59,2,8.01,clear sky
292,Kibungo,RW,-2.1597,30.5427,59.92,93,100,2.19,overcast clouds
